iso3c,Country,region,year,population,Total motor vehicles,EV_adoption,grid_g_per_kwh,ev_g_per_km,co2_total_mt,co2_transport_mt,delta_adoption,annual_km_total,km_shifted,avoided_Mt
SWZ,Eswatini,,2021,1206593.0000000005,10971500,0.01,197.81768953068598,35.607184115523474,1.2458,0.7681,0.49,131658000000.0,64512420000.0,9315.129983322022
CMR,Cameroon,,2021,26915757.999999978,10971500,0.01,206.34009911429752,37.14121784057355,10.2313,3.5594,0.49,131658000000.0,64512420000.0,9216.165755357426
SLE,Sierra Leone,,2021,8094602.0,10971500,0.01,217.7172871929556,39.189111694732006,1.0621,0.5173,0.49,131658000000.0,64512420000.0,9084.051166922536
AGO,Angola,,2021,34532428.999999985,10971500,0.01,218.08576200144094,39.25543716025937,25.2628,7.09,0.49,131658000000.0,64512420000.0,9079.772350633739
JAM,Jamaica,,2021,2837682.0000000023,15637250,0.0,481.1049040018501,86.59888272033302,6.4391,2.3095,0.5,187647000000.0,93823500000.0,8763.219727088835
AZE,Azerbaijan,,2021,10137750.000000002,14664172,0.0,450.39767633664417,81.07158174059595,37.4346,7.6891,0.5,175970064000.0,87985032000.0,8704.22004626305
FRO,Faroe Islands,,2021,53305.00000000003,14664172,0.0,454.82067012741834,81.8677206229353,0.0020999999999999,,0.5,175970064000.0,87985032000.0,8634.171741223978
TKM,Turkmenistan,,2021,7092043.000000006,14664172,0.0,469.6315492957745,84.53367887323941,65.28969999999997,11.862,0.5,175970064000.0,87985032000.0,8399.607319260307
SDN,Sudan,,2021,48066924.000000045,10971500,0.01,298.8696122530322,53.79653020554579,23.0149,12.9306,0.49,131658000000.0,64512420000.0,8141.691248837144
MLI,Mali,,2021,22388629.999999996,10971500,0.01,300.74926814356047,54.134868265840886,6.5986,3.267,0.49,131658000000.0,64512420000.0,8119.864241789401
BDI,Burundi,,2021,12965481.000000011,10971500,0.01,307.4793397536197,55.34628115565154,0.8874,0.4338,0.49,131658000000.0,64512420000.0,8041.713064648522
ZWE,Zimbabwe,,2021,15797209.999999998,10971500,0.01,307.8772780373829,55.41791004672892,10.6233,1.5847,0.49,131658000000.0,64512420000.0,8037.092111543205
GAB,Gabon,,2021,2376722.0000000023,10971500,0.01,308.80043859649123,55.58407894736842,5.1377,0.1768,0.49,131658000000.0,64512420000.0,8026.37215363421
TZA,Tanzania,,2021,62830412.0000001,10971500,0.01,321.8128323699422,57.926309826589595,19.2959,9.5245,0.49,131658000000.0,64512420000.0,7875.269171416924
LBR,Liberia,,2021,5259323.000000001,10971500,0.01,332.33620090371943,59.82051616266949,1.6173,0.7967,0.49,131658000000.0,64512420000.0,7753.069336697077
GHA,Ghana,,2021,32518664.99999997,10971500,0.01,333.6339212841209,60.05410583114176,25.0095,10.0499,0.49,131658000000.0,64512420000.0,7737.999901896934
RUS,Russian Federation,,2023,143826130.00000024,56673000,0.0,880.0274333597883,158.4049380047619,2069.501999999999,261.6207,0.5,680076000000.0,340038000000.0,7343.141690736773
NGA,Nigeria,,2021,218529285.9999996,11605000,0.0,417.7562143933781,75.19611859080806,130.98170000000002,57.2135,0.5,139260000000.0,69630000000.0,7297.494262522036
IND,India,,2023,1438069595.9999995,45687000,0.03,842.9968204364887,151.73942767856798,2955.1817000000005,339.7606,0.47,548244000000.0,257674680000.0,7282.0339295418535
DMA,Dominica,,2021,67202.00000000003,15637250,0.0,570.082726019303,102.61489068347453,0.0755,0.0253,0.5,187647000000.0,93823500000.0,7260.541803959028
CIV,Cote d'Ivoire,,2021,29639736.0,10971500,0.01,376.6451082251083,67.7961194805195,14.513400000000004,5.0343,0.49,131658000000.0,64512420000.0,7238.543865702545
COG,"Congo, Rep.",,2021,5892182.999999995,10971500,0.01,385.61247867414085,69.41024616134536,7.0188,1.2073,0.49,131658000000.0,64512420000.0,7134.4126473359
VCT,St. Vincent and the Grenadines,,2021,102840.99999999993,15637250,0.0,603.7261324041809,108.67070383275257,0.091,0.0309,0.5,187647000000.0,93823500000.0,6692.36421894774
ABW,Aruba,,2021,107700.00000000004,15637250,0.0,603.8183378278987,108.68730080902176,0.5006,0.1706,0.5,187647000000.0,93823500000.0,6690.807032544746
PRI,Puerto Rico (US),,2021,3262711.0,15637250,0.0,608.9115813823976,109.60408464883156,12.653900000000002,1.9783,0.5,187647000000.0,93823500000.0,6604.791163950353
HTI,Haiti,,2021,11374586.000000017,15637250,0.0,618.2848837209303,111.29127906976746,3.4098000000000006,1.395,0.5,187647000000.0,93823500000.0,6446.492678197673
CYP,Cyprus,,2021,1317309.0000000002,14664172,0.0,601.5897636257079,108.2861574526274,6.904200000000001,1.9044,0.5,175970064000.0,87985032000.0,6309.744731373539
UKR,Ukraine,,2023,37732836.000000045,8450000,0.01,311.42955250380743,56.057319450685334,136.19789999999998,22.2331,0.49,101400000000.0,49686000000.0,6158.2160257732485
BRB,Barbados,,2021,282146.9999999999,15637250,0.0,652.386982820389,117.42965690767001,0.7572,0.2268,0.5,187647000000.0,93823500000.0,5870.568585123222
GUY,Guyana,,2021,815482.0000000005,15637250,0.0,653.8181427840075,117.68726570112135,3.2698,1.0088,0.5,187647000000.0,93823500000.0,5846.398826490841
CUB,Cuba,,2021,11122168.000000017,15637250,0.0,656.7923783390268,118.22262810102481,21.148299999999995,1.1686,0.5,187647000000.0,93823500000.0,5796.169252363498
ATG,Antigua and Barbuda,,2021,92348.99999999996,15637250,0.0,663.2373477823703,119.38272260082665,0.3052,0.104,0.5,187647000000.0,93823500000.0,5687.3251260613415
BEN,Benin,,2021,13413417.000000024,10971500,0.01,520.2033747779751,93.63660746003552,6.4578,4.239,0.49,131658000000.0,64512420000.0,5571.511452163056
KNA,St. Kitts and Nevis,,2021,46762.99999999997,15637250,0.0,670.576131687243,120.70370370370374,0.1121999999999999,0.0382,0.5,187647000000.0,93823500000.0,5563.386055555552
MDG,Madagascar,,2021,29691082.99999997,10971500,0.01,526.8953118792213,94.84115613825982,4.0821,1.417,0.49,131658000000.0,64512420000.0,5493.803101923005
CYM,Cayman Islands,,2021,70108.00000000004,15637250,0.0,680.8943477549238,122.56098259588629,0.3380999999999999,0.1152,0.5,187647000000.0,93823500000.0,5389.129649414864
LCA,St. Lucia,,2021,178522.0,15637250,0.0,683.458205339527,123.02247696111486,0.28,0.0953,0.5,187647000000.0,93823500000.0,5345.83063283884
VIR,Virgin Islands (U.S.),,2021,105870.0,15637250,0.0,683.7213834117615,123.06984901411707,0.0001999999999999,,0.5,187647000000.0,93823500000.0,5341.386021023988
VGB,British Virgin Islands,,2021,37808.99999999999,15637250,0.0,685.3526485220954,123.36347673397717,0.0710999999999999,0.0242,0.5,187647000000.0,93823500000.0,5313.836840649694
AFG,Afghanistan,,2021,40000411.99999998,6229600,0.01,198.64153333051914,35.75547599949344,7.930800000000001,2.1142,0.49,74755200000.0,36630048000.0,5283.683837875707
GRD,Grenada,,2021,116688.00000000004,15637250,0.0,687.222698072805,123.70008565310489,0.1348,0.0459,0.5,187647000000.0,93823500000.0,5282.255013725913
TCA,Turks and Caicos Islands,,2021,45242.99999999997,15637250,0.0,690.3581060833086,124.26445909499554,0.0974,0.0332,0.5,187647000000.0,93823500000.0,5229.303522100685
MRT,Mauritania,,2021,4734874.0,10971500,0.01,574.1898073807636,103.35416532853743,4.5915,2.3888,0.49,131658000000.0,64512420000.0,4944.608277575955
CPV,Cabo Verde,,2021,516649.0000000004,10971500,0.01,581.2736329672816,104.6292539341107,0.9927,0.565,0.49,131658000000.0,64512420000.0,4862.349225915999
ZMB,Zambia,,2021,19603607.000000022,10971500,0.01,587.3203760162601,105.7176676829268,7.7646000000000015,2.5174,0.49,131658000000.0,64512420000.0,4792.1330210186
BFA,Burkina Faso,,2021,21995243.000000007,10971500,0.01,593.1057979677228,106.75904363419009,5.9322,2.6805,0.49,131658000000.0,64512420000.0,4724.951338272803
TTO,Trinidad and Tobago,,2021,1367557.999999999,15637250,0.0,734.8030450275351,132.2645481049563,28.658700000000003,2.2216,0.5,187647000000.0,93823500000.0,4478.707170874632
SYR,Syrian Arab Republic,,2021,21628839.00000003,9809000,0.01,575.6894030263885,103.62409254474993,25.367299999999997,4.8658,0.49,117708000000.0,57676920000.0,4405.127104223862
SOM,Somalia,,2021,17271430.999999996,10971500,0.01,627.1139081840496,112.88050347312893,0.9266,0.5115,0.49,131658000000.0,64512420000.0,4330.041150130048
EGY,"Egypt, Arab Rep.",,2021,110957008.00000004,6918000,0.01,433.2241623817014,77.98034922870625,249.7364999999999,55.1137,0.49,83016000000.0,40677840000.0,4149.939030930564
MUS,Mauritius,,2021,1266333.9999999993,10971500,0.01,644.5847259358293,116.02525066844926,3.9939,1.0321,0.49,131658000000.0,64512420000.0,4127.165898271721
JOR,Jordan,,2021,11066356.000000007,6229600,0.01,384.7761008938183,69.2596981608873,22.309,7.9317,0.49,74755200000.0,36630048000.0,4056.4225719011865
GNB,Guinea-Bissau,,2021,2058841.0000000005,10971500,0.01,653.9370078740161,117.7086614173229,0.3413,0.1924,0.49,131658000000.0,64512420000.0,4018.56499700787
STP,Sao Tome and Principe,,2021,221961.00000000012,10971500,0.01,661.22001170275,119.01960210649499,0.1785,0.1015,0.49,131658000000.0,64512420000.0,3933.993040672911
CZE,Czechia,,2023,10864041.999999989,6931000,0.01,469.3329925922066,84.47993866659719,90.5128,19.3862,0.49,83172000000.0,40754280000.0,3892.8513251986715
SYC,Seychelles,,2021,99257.99999999993,10971500,0.01,670.658756782313,120.71857622081635,1.1446,0.6519,0.49,131658000000.0,64512420000.0,3824.388109040683
MLT,Malta,,2021,518149.9999999998,6229600,0.01,423.6115627822945,76.25008130081301,1.6273,0.6319,0.49,74755200000.0,36630048000.0,3800.364501947317
VEN,"Venezuela, RB",,2021,28237826.000000022,4234000,0.01,158.07288742152758,28.453119735874964,71.17749999999997,10.9674,0.49,50808000000.0,24895920000.0,3772.899007305236
ERI,Eritrea,,2021,3350183.000000002,10971500,0.01,682.7382198952877,122.89287958115177,0.7122,0.2251,0.49,131658000000.0,64512420000.0,3684.1185374513125
GMB,"Gambia, The",,2021,2576009.9999999995,10971500,0.01,689.583704873761,124.12506687727698,0.5975,0.3382,0.49,131658000000.0,64512420000.0,3604.627153085019
DJI,Djibouti,,2021,1121248.000000001,6229600,0.01,470.2020202020206,84.63636363636371,0.7928,0.3706,0.49,74755200000.0,36630048000.0,3493.1745774545425
COM,Comoros,,2021,818174.0000000002,10971500,0.01,700.0,126.0,0.3403,0.193,0.49,131658000000.0,64512420000.0,3483.67068
BHR,Bahrain,,2021,1504365.0000000007,6229600,0.01,472.6202591283861,85.0716466431095,37.2756,3.5027,0.49,74755200000.0,36630048000.0,3477.23014002386
OMN,Oman,,2021,4500424.0,6229600,0.01,475.23894438248567,85.54300998884742,88.07449999999997,10.405,0.49,74755200000.0,36630048000.0,3459.9640780440395
HUN,Hungary,,2023,9592186.00000001,4515000,0.01,291.1963524158617,52.41534343485511,43.8252,14.251,0.49,54180000000.0,26548200000.0,3387.1429794227793
HND,Honduras,,2021,10289876.999999993,15637250,0.0,803.457059352518,144.62227068345322,9.8822,4.5973,0.5,187647000000.0,93823500000.0,3319.2623865310266
NER,Niger,,2021,24502140.000000022,10971500,0.01,715.8220221606647,128.84796398891964,2.8588000000000005,1.2529,0.49,131658000000.0,64512420000.0,3299.94163100194
BHS,"Bahamas, The",,2021,396372.9999999997,15637250,0.0,822.56876353529,148.0623774363522,1.5901,0.5414,0.5,187647000000.0,93823500000.0,2996.49953060041
TUN,Tunisia,,2021,12048622.000000017,6229600,0.01,554.2219735038832,99.75995523069898,31.014099999999992,7.9724,0.49,74755200000.0,36630048000.0,2939.1966914216455
YEM,"Yemen, Rep.",,2021,37140229.99999994,6229600,0.01,558.9728698601103,100.61511657481985,11.548299999999998,2.67,0.49,74755200000.0,36630048000.0,2907.8720903387534
MOZ,Mozambique,,2021,31707800.0,10971500,0.01,752.3222180989237,135.41799925780626,9.2885,4.1683,0.49,131658000000.0,64512420000.0,2876.0927563207147
SAU,Saudi Arabia,,2021,30784383.00000004,6229600,0.01,566.5325620716404,101.97586117289528,584.5083,128.2202,0.49,74755200000.0,36630048000.0,2858.02795039551
PAK,Pakistan,,2023,247504495.0000001,4553000,0.01,428.1100786164079,77.05981415095343,200.51010000000008,43.3748,0.49,54636000000.0,26771640000.0,2755.8775970837687
SEN,Senegal,,2021,17220867.00000001,10971500,0.01,766.1442006269596,137.90595611285272,12.223399999999998,3.2821,0.49,131658000000.0,64512420000.0,2715.5886387460782
KWT,Kuwait,,2021,4360865.000000004,6229600,0.01,594.1440561518177,106.94593010732719,106.14409999999997,16.0383,0.49,74755200000.0,36630048000.0,2675.97408676396
MDA,Moldova,,2021,2595809.0000000014,14664172,0.0,838.9112212708429,151.00401982875172,9.646999999999998,2.2322,0.5,175970064000.0,87985032000.0,2551.212243238645
SVK,Slovak Republic,,2023,5426739.999999998,2799000,0.02,122.25956363123109,22.006721453621594,34.86160000000001,7.5765,0.48,33588000000.0,16122240000.0,2547.205555111564
ZAF,South Africa,,2021,61502602.9999999,10338000,0.01,775.0108499058845,139.5019529830592,428.5331999999999,48.2214,0.49,124056000000.0,60787440000.0,2461.7726031594675
LBN,Lebanon,,2021,5718121.999999998,6229600,0.01,640.6291246118014,115.31324243012426,16.859100000000005,7.1305,0.49,74755200000.0,36630048000.0,2369.479034748912
ECU,Ecuador,,2021,17682453.999999978,2678000,0.02,173.08854845719284,31.15593872229471,39.8896,19.1629,0.48,32136000000.0,15425280000.0,2295.9613215457616
IRQ,Iraq,,2021,43071211.00000001,4715000,0.01,551.336189889539,99.24051418011702,174.83659999999992,33.4508,0.49,56580000000.0,27724200000.0,2238.9921367675997
QAT,Qatar,,2021,2504909.999999999,6229600,0.01,664.988652427335,119.69795743692029,117.96599999999997,12.1829,0.49,74755200000.0,36630048000.0,2208.866713583653
BLR,Belarus,,2022,9228070.999999989,3724000,0.02,455.4220971124072,81.9759774802333,56.82659999999999,9.6305,0.48,44688000000.0,21450240000.0,2102.638808814401
TGO,Togo,,2021,8878379.000000006,10971500,0.01,828.4797734627828,149.12635922330088,2.46,1.265,0.49,131658000000.0,64512420000.0,1991.7332807155396
LBY,Libya,,2021,7135175.000000004,3259000,0.02,524.220267356619,94.35964812419142,56.004,16.8554,0.48,39108000000.0,18771840000.0,1607.6269829563785
DZA,Algeria,,2021,44761099.00000003,6239000,0.01,764.4008080571494,137.5921454502869,179.74209999999994,43.3215,0.49,74868000000.0,36685320000.0,1555.745714669681
GNQ,Equatorial Guinea,,2021,1758786.0000000002,10971500,0.01,901.5283737024221,162.27510726643598,4.3582,0.441,0.49,131658000000.0,64512420000.0,1143.47572448263
BWA,Botswana,,2021,2401440.9999999995,10971500,0.01,902.656704026567,162.47820672478207,6.5964,2.1557,0.49,131658000000.0,64512420000.0,1130.3732869240346
TCD,Chad,,2021,17828273.000000007,10971500,0.01,943.828096385542,169.88905734939755,2.1902,0.8917,0.49,131658000000.0,64512420000.0,652.2813788715787
ARE,United Arab Emirates,,2021,9575152.00000001,3181000,0.02,813.5774461261839,146.4439403027131,201.3250999999999,36.2537,0.48,38172000000.0,18322560000.0,614.8329171671213
CHE,Switzerland,,2021,8704545.999999994,5215000,1.61,436.60465468421114,78.588837843158,37.5792,14.6239,0.0,62580000000.0,0.0,0.0
CAN,Canada,,2023,40083484.00000007,26788000,0.79,764.5387249188922,137.6169704854006,575.0120000000002,166.3535,0.0,321456000000.0,0.0,0.0
BRN,Brunei Darussalam,,2021,451720.9999999999,50952500,0.0,1002.6448499736789,180.4760729952622,9.7462,1.1522,0.5,611430000000.0,305715000000.0,0.0
